id,kategori,soru,reference_cevap,model_cevabi
10,uroloji,Hocam cevaplar nerden bkcaźzzzzźzzzzxxxxmmdmdmdmmdmmdmdmdkdkdkkdkdkdkdkdkkssmdmmdmdmdmdmdmdmdkkdkdkdkddskwooqorjfjs,???,"Merhaba, 1-2 hafta sonra tekrar randevu alabilirsiniz."
11,kulak-burun-bogaz-hastaliklari,kronik mastoid enfeksiyon sersemlik hali ve kulak cinlamasi yapar mi? ameliyat gerektirir mi? noroloji uzmani damar basisi var dedi beyin cerrahiye yonlendirdi beyin cerrahiye gittim ve hekim bey damar basisi olmadigini enfeksiyon olabilecegini soyleyip kbb ye yonlendirdi.,kbb muayenesi olmalısınız.,Kronik mastoid enfeksiyonunuz için muayene edilmeniz gerekiyor. Muayeneniz sonrasında tedavi planlanır.
12,uroloji,Merhaba Hocam. 39 yaşında bir bayanım. Sol tarafımda 3 haftadır zaman zaman ve farklı alanlarda devam eden olan ağrı nedeni ile doktora gittim. Ultrason sonucu Sağ böbrek uzunluğu 113 mm. sol böbrek uzunluğu 140 mm. Her ikki böbrek normal parankimal kalınlıktadır. Parankim ekojenitesi homojen olarak izlenmektedir. Sağ pelvikalisiyel dilatasyon izlenmedi. Sol böbrek pelvikalisiyel yapıları grade 1 dilatedir. Börek fonksiyonlarına ilişkin Kan tahlillerim normal. İdrarda yanma vb sıkıntım yok. 2 ay önce idrar tahlili yapılmıştı bir sorun o zaman için yoktu. Böbrek taşı ile ilgili midir? Doktorum ürolojiye gidebilirsin dedi. Ama ben hemen gidemeeeceğim. Sıkıntı olur mu?,Muhtemelen küçük bir taş düşürüyorsunuz. Bol su için. Geçmezse bir üroloji uzmanına muayene olmanız gerekir.,Böbrek taşı ile ilgili değil. Bir üroloji uzmanına başvurmanızda fayda var.
13,beyin-ve-sinir-cerrahisi,HOCAM MERHABALAR 26 YAŞINDAYIM YAKLAŞIK 2 HAFTA ÖNCE BELİMDE VE BACAĞIMDAKİ AĞRIYLA BEYİN CERRAHİSİ UZMANINA BAŞVURDUM.DAHA ÖNCE AĞIR BİR BEL AĞRISI PROBLEMİM OLMADIĞI HALDE BANA BEL FITIĞIM OLDUĞUNU VE KESİN AMELİYAT OLMAM GEREKTİĞİNİ BAŞKA BİR TEDAVİYLE İYİLEŞMİYCEĞİNİ SÖYLEDİ.YAŞIM GENÇ OLDUĞU İÇİN ACELE BİR KARAR VERİP AMELİYAT OLMAK İSTEMİYORUM.BU KONU HAKKINDA FİKRİNİZİ MERAK EDİYORUM.TEŞEKKÜRLER...,"Karar vermek için sizi ve MR&#39;ınızı görmemde yarar var. Salı ve Perşembe 10-18 arası Nişantaşı&#8217;nda muayenehanemde (Teşvikiye cad.17/Kat1 İkbal İş Merkezi-Teşvikiye Camii karşısı - Nişantaşı) hasta bakıyorum. Eğer gelemiyorsanız ilk fırsatta yeni bir bel MR&#39;ı çektirin, sonuçları bana yollayın veya bizzat getirin, sonra ayrıntıları görüşelim. Dr Aybars AKKOR *** *** ** / *** *** ** Faks:*** *** **","Merhaba, size ameliyat olmanız gerekiyor. Ameliyattan sonra da şikayetleriniz geçmezse tekrar muayene olunuz."
14,dahiliye-ve-ic-hastaliklari,"Merhaba doktor bey ben midemde yanma,ekşime ve gaz sorunu vardı bunun için doktora gittim bana en doğru tedaviyi uygulamak için endoskopi yaptırmamı söyledi bende bir hafta önce endoskopi yaptırdım ve bende endoskopi sonucunda reflü,gastrit ve mide fıtıği çıktı doktor bana Helipak ve Antepsin adlı ilaçları yazdı. Ben de bunları kallanıyorum. Size sorum bu ilaçlarla tedavi kesin olumlu sonuç verırmi ilaç dışında bana yapmam gerektiğine dair önerileriniz nelerdir Kilom 90 yaşım 42 selamlar teşekkr",zayıflamayı öneririm tedavi güzel ilaç dışında stress ve üzüntüden uzak durmaya çalışır.,Endoskopik tetkiklerle birlikte ilaç tedavisi ile tedavi edilebilir. Endoskopik tetkiki yapan hekimle görüşmeniz uygun olacaktır.
15,beyin-ve-sinir-cerrahisi,iyi akşamlar hocam benim annem bundan iki aksam önce kaza geçirdiler başını bir yere vurmuş acilde filimi tomografi si cekildi doktor bişey yok dedi ama basının üstünde alında şişlik var birde baş agrısı arttı ne yapmalıyız ilaç olarak parol verdi şişlik kendisi geçecek miş,"Annenize bir kranial MR çektirtin, eğer bir şey çıkmazsa rahatlarsınız.",Bir kardiyologa başvurun.
16,fiziksel-tip-ve-rehabilitasyon,Hocam Merhabalar 2 tane MR sonucum var ve sonuclari sunlar; Siz degerli hocamdan tavsiyelerinizi rica edecegim ne yapmam gerektigi konusunda DIZ MR SONUCU -Sol Diz ekleminde minimal artikuler koleksiyon -ACL parsiyel Yirtik -Medial Meniskus posteriou hornunda grade II dejenerasyon. BEL MR SONUCU Lomber lordoz konfogirasyonu hafif artmi izlenmektedir.Lomber vertebra korpus yukseklikleri korunmus olmakla beraber end plate&#39;lerde kucuk schmorl nodulleri mevcuttur. L5 vertebrasi sakralizerdir ve L5-S inververbal eklem mesafesi daralmistir Ayrica T12-L1 intervertebra eklem mesafeside daralmis izlenmektedir. Diger lomber intervertebra eklem mesafeleri korunmustur. T12-L1 intervertebral diski dural keseye basi yapan bulging gostermektedir. Diger lomber intervertebral disklerin arka konturlarinda spinal kanal yonunde anlamli bir tasma saptanmamistir.Spinal kord T12-L1 seviyesinde konus medullaris olarak devam etmekted olup morfoloji ve sinyal intensite dagilimi tabi izlenmistir. Kauda equir kok,"Sol dizde bir darbe veya incinme, buna bağlı iltihabi bir durum var gibi. Ön çapraz bağda da zedelenme var. Belinizde doğumsal bir yapı anomalisi mevcut ve biraz duruş bozukluğundan sözedilebilir. MR bir tanı konmasında %15 kadar pay sahibidir. Ancak tam bir tanı için ayrıntılı ve kapsamlı bir muayene gerekli. Tedavi gerektirip gerektirmediğini bu muayene ve konacak klinik tanılar belirleyecektir. Bu açıdan bir fizik tedavi uzmanına başvurun lütfen.","Merhaba, Öncelikle geçmiş olsun. MR raporlarında önemli olan şey, muayene bulgularınız ile uyumlu olmayan bulgular. Bu durumda, muayenenizden sonra tekrar MR çektirmeniz gerekebilir. Eğer muayene bulgularınız da normal ise, şikayetleriniz için başka bir tetkik yapılabilir. Sağlıklı günler dileklerimle..."
17,uroloji,"Hocam mrb. Eşimle birlikte 2 aydır çocuk düşünüyoruz bu bağlam da eşim hormon testi yaptırdı bir sorun çıkmadı bende spermiogram testi yaptırdım, doktorumuza gösterdim herhangi bir sorun yok, tedaviye gerek yok normal yolla çocuğunuz olur dedi ama sonuç sınırda gibi sizde değerlendirebilir misiniz 3 gün, Az yapışkan, volüm:2,8 cc, gri opalasan Motilite: Hızlı ileri:%12 ileri yavaş:%21 yerinde hareketli:%17 Hareketsiz:%50 1 cc: *** *** ** total sperma: *** *** ** Vitalite:%50 H.O.S.:%59 Morfoloji: WHO: normal: %48 anormal:%52 Kruger Strict: normal:%12 anormal:%88",hızlı ileri nin %32 ve üstünde olması beklenir. Uygun perhizle 2. spermiogram yaptırmanızı öneririm. Ancak infertilite (kısırlık) taraması için 2 ay az bir süre. 1 yıl bekleyip normal gebelik görülmez ise o zaman da araştırılabilir. Geçmiş olsun,Bence bir çocuk sahibi olabilirsiniz.
18,ortopedi-ve-travmatoloji,"Merhaba hocam, 1 gün önce demirlerin üzerinden atlayarak ayağım demirlere takıldı , ve yere düştüm. aradan 2 - 3 saat geçtikten sonra diz kapağımn yanına fındık büyüklüğünde bir şişlik oluştu , bacağımı ileri geri teprettiğimde kıkırdak gibi bişey sanki açılıp kapanıyo , bişeye çarpıyor sanki , lütfen bilgi verirseniz sevinirim.. İyi günler...",Muayene olmanız gerekir. Çarpmaya bağlı bir zedelenme veya kıkırdakta bir kopma olabilir.,Bir doktor tarafından muayene olmanızı öneririm.
19,uroloji,merhaba doktor bey ben 4 yıllık evkıyım benım eşimin sperm kalıtesı dusuk hareketlı spermı yok yavaş-dogrusal hareketlı sperm sayısı var ölü spermıde yok dopler cekıldı varıkosel herhangı bır sorunumuzda yok l-argınıne ve -evon dıye ılac vardı doktor sızce tedavı dogrumusur pisikolojım çok bozuk yardım edın,Bu tür ilaçlar sperm kalitesini arttırmak için üroloji camiasında yaygın olarak kullanılmakta. Herhangi bir ciddi yan etkisi olmadığı için kullanmanız önerilebilir.,Eşinizin sperm değerleri normaldir. Ancak bu değerler için bir sperm analizini yaptırmadan yorum yapmak yanlış olur. Sperm analizi sonucunu bana getirin.
20,fiziksel-tip-ve-rehabilitasyon,Sayın hocam iyi günler saygılar ve sevgiler acaba hocam LOMBER MRG sonucunu yorumlarmısınız LOMBER MRG İNCELEMESİ:lomber lordoz düzleşmiştir.Açıklıgı sola bakan skolyoz izlenmektedir.Lomber aksta minimal saga rotasyon izlenmektedir.(pozisyonel?rotoskolyoz?) L4vertebra korpusunbda 1cm altında hemanjiom ile uyumlu sinyal intensite degişikligi izlenmektedir. T12 vertebra korpusunda yaklaşık 10x12 mm çapında hemanjiom ile uyumlu sinyal intensite degişikligi izlenmektedir.lomber vertebra korpus end platolarında dejeneratif degişiklikler izlenmektedir. L4-L5 disk düzyeinde santral -sağ paratansal geniş tabanlı protrüzyon izlenmektedir.Nöral foramenler açıktır.Ön epidural mesafe daralmıştır.bilateral lateral reses düzeyi 15 siniri etrafı yağlı dokular açık görünümdedir.L5-S1 disk düzeyinde santral-sol paratansal geniş tabanlı protrüzyon izlenmektedir.Nöral foramenler açıktır.Ön epidural mesafe daralmıştır.Lateral reses düzyeleri açıktır. BELİMDE HANGİ HASTALIK VAR ACABA NEDİR?,belinizde 2 seviyede bel fıtığınız mevcut bir tane çok önemi olmayan kan damarı yumağınız ve omurga eğriliğiniz var . geçmiş olsun,Lomber bölgede fıtık var. Ama şikayetiniz yok mu?
21,beyin-ve-sinir-cerrahisi,"Merhaba Boyun mr sonucunda ; * servikal lordozda duzlesme, *C2-3,C3-4,C4-5 duzeylerinde intervertebral disklerde sinyal intensitelerinde T2 agirlikli incelemelerde dejenerasyon sekonder azalma *C 3-4 duzeyinde intervertebral diskte subaraknoid mesafeyi onden daraltan santral sol paramedian protruzyon. Seklinde cikmistir. Mr sonucunu yorumlarsaniz cok sevinirim",Bir boyun fıtığınız olduğu rapor edilmiş. Görüntüler ile bir beyin cerrahına muayene olmanızda fayda var.,Merhabalar; MR raporuna göre boyun fıtığınız var. Fıtıkta kireçlenme mevcut. Bu durumda ameliyat olmanız gerekebilir. Ameliyattan sonra da fizik tedaviye başlanabilirsiniz. Geçmiş olsun.
22,genel-cerrahi,Merhaba dr bey benim yiğenim uzun zamandır ara ara tuvalet problemi çekiyor beslenmesine dikkat edildiği halde 5 6 aydır *** *** ** gün-de bir tuvalete çıkıyor aralarda 2 gün-de bir çıktığında oluyor çocuk 12 yaşında piskolojik olabilirmi ne yapmak lazım nasıl davranmak laz bir yol gosterebilirmisiniz,Öncelikle çocuk hastalıkları uzmanı muayenesi gerekir. Muayene sonucuna göre hekiminiz yönlendirme yapacaktır.,Bu durumda tedaviye başlamak gerekir. Bu konuda en iyi bilgi veren doktorunuzdan yardım almanız uygun olacaktır.
23,uroloji,Hocam bir önceki sorumda karakter yetmediği için soramadım peniste oluşan siğillerin cinsell yolla bulaşabileceğini söyledi doktorum benim nişanlımla sürtünme seklinde bir ilişkimizi oluyor onun vajen cevresinde bir et beni vardı bi ilişkiden sonra sürtünmeden dolayı koptu ve kanadı bu şekilde bana bulaşmış olabilirimi hocam?? şimdiden tesekkür ediyorum hocam,bu lezyonlar neredeyse tamamen cinsel ilişki ile geçer. nişanlınızın da tedavi olması gerekir.,Bulaşma ihtimali yüksek. Doktorunuzun önerilerine uymanızı tavsiye ederim.
24,beyin-ve-sinir-cerrahisi,kardeşim ikı defa hıpofiz ameliyatı geçirdi ikinci amelıyatta beyın suyu boşaldı doktoru müdahale ederek kapatı fakat ameliyatan sonra beyin hava almaya başladı doktoru dinlndikten sonra bunun geçeceğini söylüyor ama kardeşim artık ayağakalkamıyor kalktıği gıbı şidetlı baş ağrısı ve kusması başlıyor bunun için ne yapabılırız,eğer çok fazlaysa ufak bir mudahele ile boşaltılır,Beyindeki sorunun tedavisi için hastayı muayene etmem gerekir.
25,ortopedi-ve-travmatoloji,"bundan bir yıl önce kemik iliği biyopsisi yaptırmıştım,trombositlerimde düşme olduğu için.sonuç iyi .son bir aydır dizlerim ağrıyor.kalça ve belimde de ağrılar var hareket etmek de zorlanıyorum.diz ağrılarım oturup kalkarken oluyor,ayakta rahatım.siyatik olabilirmi? .yaptırdığım biyopsiden dolayı enfeksiyon oluşmuş olabilirmi merak ettim.doktora gideceğim bu hafta .ön bilgi almak istedim teşekkür ederim.",sayın tanrıseven şikayetlerinizin önceki problemlerden kaynaklandığınız zannetmiyorum ama bundan emin olabilmek için muayene olmanız ve gerekirse tetkiklerinizi yaptırmanız gerekmektedir. sonucuna göre hekiminiz size gereken tedavi ve takiplerinizi düzenleyecektir geçmiş olsun dilekjlerimle,Bir fizik tedavi uzmanına muayene olmanızda fayda var.
26,beyin-ve-sinir-cerrahisi,"Merhabalar, kafamın arka kısmında enseden yukarı dogru çıkınca sol tarafda bir şişlik mevcut . Üstüne bastırınca hafifden acıyor. Bir yere ve bir darbe sonucu olmadı neden şişmiş bilemiyorum.iki gün önce gördüm ve henüz geçmedi. Kötü bir şey olabilirmi ve bu şişlik bir hafta içinde geçmezse hangi bölüm doktoruna gidebilirim ? Cevap verirseniz sevinim","Bu şişliği ihmal etmemenizde yarar var.Tedavinize karar vermek için sizi görmemde yarar var. Pazartesi, Çarşamba 10-18, cuma 13-18 saatleri arasında Beşiktaş Fulya?daki muayenehanemde (Hakkı Yeten cad 13 Fulya Terrace Kat M3 Fulya - Şişli) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR *** *** **/ *** *** ** / *** *** **",Beyin cerrahisi bölümüne başvurun.
27,beyin-ve-sinir-cerrahisi,Merhaba doktor bey.bir kaç gündür sabahtan itibaren şidddetli baş ağrışı yaşamaktayım özellikle başımın sağ tarafında ensemin üst kısımlarında daha fazla oluyor ve hareket ettikçe ağrılar zonklama şeklini alıyor.bu yaşadığım baş ağrılarının sebepleri neler olabilir ve kaç gün içerisinde geçmezse doktora başvurmalıyım,İlk fırsatta bir nöroloji uzmanına başvurun.,Beyin MR çektirmeniz gerekir.
28,uroloji,"Merhabalar doktor bey. 14 yaşındayım. 1 Yıl önce sol testisimde darbe sonrası kitle çıkmıstı ancak dogru düzgün doktora gidilmedi. Darbeden sonra kılcam damarlar çıktı 2-3 tane hala var. Şimdi yeni bi tane var 2 aydır sanırım yani sol testiste 2 tane kitle var. Sol testisin ortasından 3 mm üzerinden itibaren yukarı doğru şiş gibi. Ailede kanser hastası olan yok, inmemiş testis ameliyatı geçirmedim. Sizce bunların çıkması hep darbeden dolayı mı? Sağ testisim böyle değil. İlçede kalmamızdan dolayı sağlık ocağından kan verip o sonuçları baktırmayı düşünüyorum hocam. Şu an doktora gidemediğimiz için. Testis kanseri için bakılan yani bakılması gereken değerlerin adı nedir. Çok teşekkürler.",Varikosel olabilir. Kan testinden önce Skrotal Doppler Ultrasonografi yaptırın.,Bence bir üroloji uzmanına başvurunuz.
29,beyin-ve-sinir-cerrahisi,"Ayhan Bey merhabalar,boyun fıtığı ameliyatından ne kadar süre sonra fiziksel mücadele gerektiren sporlar (futbol,basketbol vs) yapılabilir? Onlar haricinde önerebileceğiniz bir spor aktivitesi var mı?",ameliyattan bira ay sonra herşey serbest yüzme en çok önerdiğimiz spor,"Merhaba, 1 hafta sonra spor yapabilirsiniz."
30,kardiyoloji,merhaba hocam ben 23 yaşındayım 21 yaşında kalp romatizması olduğumu öğrendim. ve yaklaşık 2 yıldır ayda bir kere depo penisilin yaptırıyorum. doktorum mitral kapak yetmezliği var dedi. bende olan mitral yetmezliği hafif düzeydeymiş. 5 yıl bu iğneyi yaptırmak zorundaymışım. peki benim bu hastalığımın iyileşme oranı nedir? tamamen bu hasta hastalıktan 5 yıl sonra kurtulabilir miyim?,"Kalp romatizması hakkında ""www.kalpveyasam.com"" adresindeki kişisel sitemde ayrıntılı bilgi var, sorularınızın yanıtı burada mevcuttur. Geçmiş olsun, Prof. Dr. Ali Serdar Fak, www.vivasaglik.com","Merhaba, öncelikle geçmiş olsun. Mitral yetmezliklerin %70'ından fazlası tedavi edilebilir. Ancak tedavilerin çoğu 6-8 haftalık tedavi süresinde yapılmalıdır. Bu süre içinde de tedavinizin etkisi olur. Tedaviden sonra da tedaviye devam edilmeli. Eğer tedaviyi tamamladıkça, tedavideki etkileri kaybederseniz, tekrar tedaviye başlanmanız gerekecektir. Tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedaviden sonra da tedav"
31,uroloji,"değerli hocam yaşım 35, bundan 10 yıl önce yani 25 yaşındaydım top oynarken kalecilik yaptım ve kendimi toprak zemine 4 - 5 defa göğsümün üzerine sert bir şekilde attım ve içimden sanki sıvıların yer değiştirdiğini hissettim ama herhangi bir ağrı olmadı ve o gece ereksiyon problemim başladı o geceden önce penisim günde kendi kendine sabahları dahil 4-5 defa mükemmel derecede sertleşiyordu ama kendimi yere attıktan sonra ereksiyon problemim oldu aradan geçen 10 yılda hiçbir sertleşme olmadı sadece hap aldığım taktirde penis sapım sertleşiyor ama penis başım çok yumuşak sertleşmiyor çeşitli doktorlara gittim iğne vurularak penil dopler yapıldı dr. bişey yok dedi normal dedi ne yapmamı öneriyorsunuz penis başım hap aldığım zaman bile hala çok yumuşak sigara ve alkol kullanmıyorum",merhaba penil dopler yapılmış ve ereksiyon tam olmuşsa operasyonluk bir durum yok demektir. ilaç alınca anladığıma göre tam sertleşem olmuyor ama ilşki için yeterli sertlik oluyor. yapılacak tedavi seçeneği ilaçlara devam ettmek gibi görünüyor geçmiş olsun,Bir üroloji uzmanına muayene olmanızı öneririm.
32,ortopedi-ve-travmatoloji,Hocam iyi günler diliyorum. Yaşım 28 kilom 65 sağ dizimde 5 senedir süren ağrı vardı 2 sene önce doktora göründüm ve kıkırdık eksilmesi ve ödem demişti bugün tekrar doktora göründüm ve ödem var kıkırdak eksilmesi pek fazla yok yürüyüş yap kasların çok zayıf dedi hafif koşu iyi olur ağrıyor diye bırakma diye uyarıda bulundu bu doğrultudamı ilerleyeceğim başka önereceğiniz bir şey varmı yürüyüş gerçekten iyi olurmu.,Muayene etmeden kesin birsey söyleyemem ama diz cevresi kaslarını guclendirici egzersizler yapmanız yararlı olur.,Diz eklemi için ilaç kullanmanız gerekir. Daha sonra muayene edip tedavi planlamak lazım.
33,beyin-ve-sinir-cerrahisi,"sayın hocam,babam 2002 yılında bir trafik kazası geçirdi ve bel kemiği kırıldı.kazadan 6 ay sonra farkedildi ve ameliyat edildi.ameliyatta bel kemiğine platin takıldı fakat vücut platini kabul etmedi dendi,çünkü ameliyat yerinde apselenme ve kızarıklık oluştu.iltikap dışarı akmaya başlayınca platinler çıkartıldı.uzun süre antibiyotik tedavisi gördü.kemikte verem oluştuğu söylendi.tekrar platin tutmayacağı gerekçesiyle bir daha ameliyat edilmedi.bunun tedavisi mümkünmüdür?nasıl bir tedavi gerekir",Karar vermek için babanızı ve MR&#39ını görmemde yarar var. Pazartesi ve Perşembe 10-18 arası Nişantaşı&#8217;nda muayenehanemde (Teşvikiye cad.103/Kat1 Nişantaşı) hasta bakıyorum. İlk fırsatta bekliyorum. Dr Aybars AKKOR 0-212- *** *** ** *** *** **,Beyin cerrahisinden bir doktor ile görüşmeniz uygun olur.
